,instant,Date of the ride,season,holiday,weekday,Weather situation,temp,atemp,Relative humidity,windspeed,Non-registered user rentals,Registered user rentals,Total Rentals
0,1,01-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 24 degree celsius,0.2879,81 %,0.0,3,13,16
1,2,01-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.2727,80 %,0.0,8,32,40
2,3,01-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.2727,80 %,0.0,5,27,32
3,4,01-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 24 degree celsius,0.2879,75 %,0.0,3,10,13
4,5,01-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 24 degree celsius,0.2879,75 %,0.0,0,1,1
5,6,01-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 24 degree celsius,0.2576,75 %,0.0896,0,1,1
6,7,01-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.2727,80 %,0.0,2,0,2
7,8,01-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.2576,86 %,0.0,1,2,3
8,9,01-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 24 degree celsius,0.19993489148580967,75 %,0.0,1,7,8
9,10,01-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 32 degree celsius,0.3485,76 %,0.0,8,6,14
10,11,01-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 38 degree celsius,0.3939,76 %,0.2537,12,24,36
11,12,01-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 36 degree celsius,0.3333,81 %,0.2836,26,30,56
12,13,01-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 42 degree celsius,0.4242,77 %,0.2836,29,55,84
13,14,01-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 46 degree celsius,0.4545,72 %,0.2985,47,47,94
14,15,01-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 46 degree celsius,0.4545,72 %,0.2836,35,71,106
15,16,01-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 44 degree celsius,0.4394,77 %,0.2985,40,70,110
16,17,01-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 42 degree celsius,0.4242,82 %,0.2985,41,52,93
17,18,01-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 44 degree celsius,0.19993489148580967,82 %,0.2836,15,52,67
18,19,01-01-2011,Spring,Not a Holiday,Working day,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain +Scattered clouds",feels like 42 degree celsius,0.4242,88 %,0.2537,9,26,35
19,20,01-01-2011,Spring,Not a Holiday,Working day,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain +Scattered clouds",feels like 42 degree celsius,0.4242,88 %,0.2537,6,31,37
